Model Name,Category,binary_accuracy,precision,recall,f1-score,support,Optimization Metric,Threshold
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Airspace Violation,0.9553635716438292,0.948051948051948,0.5572519083969466,0.701923076923077,131.0,0.740285277051379,0.27
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Speed,0.945284366607666,0.8736842105263158,0.564625850340136,0.6859504132231405,147.0,0.740285277051379,0.5
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Ground Excursion,0.973362147808075,0.9469026548672568,0.7753623188405797,0.852589641434263,138.0,0.740285277051379,0.58
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",No Specific Anomaly Occurred,0.948164165019989,0.9047619047619048,0.2134831460674157,0.3454545454545454,89.0,0.740285277051379,0.21
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",micro avg,0.9225033521652222,0.8211841713775662,0.7528641571194763,0.7855414828518572,3666.0,0.740285277051379,
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",macro avg,0.9225033521652222,0.8485911209997713,0.6824942595439658,0.740285277051379,3666.0,0.740285277051379,
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",weighted avg,0.9225033521652222,0.8276805133630003,0.7528641571194763,0.7793618999264585,3666.0,0.740285277051379,
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",samples avg,0.9225033521652222,0.8171706263498921,0.7542168055127019,0.758897513973108,3666.0,0.740285277051379,
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Deviation / Discrepancy - Procedural,0.7912167310714722,0.8209944751381215,0.8530424799081515,0.8367117117117117,871.0,0.7673953587454141,0.48
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Aircraft Equipment,0.9006479382514954,0.8342541436464088,0.7947368421052632,0.8140161725067386,380.0,0.7673953587454141,0.46
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Conflict,0.943124532699585,0.8901098901098901,0.8321917808219178,0.8601769911504424,292.0,0.7673953587454141,0.41
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Inflight Event / Encounter,0.8797696232795715,0.7981366459627329,0.7158774373259053,0.7547723935389133,359.0,0.7673953587454141,0.54
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",ATC Issue,0.9028077721595764,0.8064516129032258,0.8507853403141361,0.8280254777070063,382.0,0.7673953587454141,0.39
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Altitude,0.9402447938919068,0.869281045751634,0.6785714285714286,0.7621776504297995,196.0,0.7673953587454141,0.6
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Track / Heading,0.948164165019989,0.8794326241134752,0.6927374301675978,0.775,179.0,0.7673953587454141,0.35
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Ground Event / Encounter,0.917206645011902,0.75,0.7400881057268722,0.7450110864745011,227.0,0.7673953587454141,0.36
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Flight Deck / Cabin / Aircraft Event,0.9510439038276672,0.8292682926829268,0.6845637583892618,0.7499999999999999,149.0,0.7673953587454141,0.32
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Ground Incursion,0.9589632749557496,0.8791208791208791,0.6349206349206349,0.7373271889400922,126.0,0.7673953587454141,0.31
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Airspace Violation,0.9618430733680724,0.9239130434782608,0.648854961832061,0.7623318385650224,131.0,0.7673953587454141,0.38
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Speed,0.9524837732315063,0.8715596330275229,0.6462585034013606,0.7421875000000001,147.0,0.7673953587454141,0.51
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",Ground Excursion,0.9762418866157532,0.9411764705882352,0.8115942028985508,0.8715953307392997,138.0,0.7673953587454141,0.49
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",No Specific Anomaly Occurred,0.9575234055519104,1.0,0.3370786516853932,0.5042016806722689,89.0,0.7673953587454141,0.36
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",micro avg,0.9272344708442688,0.8362712877203465,0.7635024549918167,0.7982318551261942,3666.0,0.7673953587454141,
